sid,lid
213,1605
214,1601
214,1602
214,1605
215,1601
215,1604
215,1606
216,1601
216,1602
216,1605
217,1601
217,1602
217,1605
218,1601
218,1602
218,1605
219,1601
219,1602
219,1605
220,1601
220,1603
220,1607
221,1600
221,1602
221,1605
222,1601
222,1602
222,1605
223,1601
223,1602
223,1605
224,1601
224,1602
224,1605
225,1601
225,1602
225,1605
226,1601
226,1602
226,1605
227,1601
227,1602
227,1605
228,1601
228,1603
228,1606
229,1601
229,1602
229,1605
230,1601
230,1602
230,1605
231,1601
231,1602
231,1605
232,1601
232,1602
232,1605
233,1601
233,1602
233,1605
234,1601
234,1602
234,1605
235,1601
235,1602
235,1605
236,1601
236,1602
236,1605
237,1601
237,1603
237,1607
238,1601
238,1602
238,1605
239,1601
239,1602
239,1605
240,1601
240,1602
240,1605
241,1601
241,1602
241,1605
242,1601
242,1602
242,1605
243,1601
243,1602
243,1605
244,1601
244,1602
244,1605
245,1601
245,1602
245,1605
246,1601
246,1602
246,1605
247,1601
247,1603
247,1606
248,1601
248,1602
248,1605
249,1601
249,1602
249,1605
250,1601
250,1602
250,1605
251,1601
251,1602
251,1605
252,1601
252,1604
252,1607
253,1601
253,1602
253,1605
254,1601
254,1602
254,1605
255,1601
255,1602
255,1605
256,1601
256,1602
256,1605
257,1601
257,1602
257,1605
258,1601
258,1602
258,1605
259,1601
259,1602
259,1605
260,1601
260,1602
260,1605
261,1601
261,1602
261,1605
262,1601
262,1602
262,1605
263,1601
263,1602
263,1605
264,1601
264,1603
264,1606
265,1600
265,1602
265,1605
266,1601
266,1602
266,1605
267,1601
267,1603
267,1607
268,1600
268,1602
268,1605
269,1600
269,1602
269,1605
270,1601
270,1602
270,1605
271,1601
271,1602
271,1605
272,1601
272,1602
272,1605
273,1601
273,1602
273,1605
274,1601
274,1602
274,1605
275,1601
275,1602
275,1605
276,1601
276,1604
276,1606
277,1600
277,1602
277,1605
278,1601
278,1602
278,1605
279,1601
279,1602
279,1605
280,1601
280,1602
280,1605
281,1601
281,1602
281,1605
282,1601
282,1604
282,1607
283,1601
283,1602
283,1605
284,1601
284,1602
284,1605
285,1601
285,1602
285,1605
286,1601
286,1602
286,1605
287,1601
287,1602
287,1605
288,1601
288,1602
288,1605
289,1601
289,1602
289,1605
290,1601
290,1602
290,1605
291,1601
291,1602
291,1605
292,1601
292,1604
292,1606
293,1601
293,1602
293,1605
294,1601
294,1602
294,1605
295,1601
295,1602
295,1605
296,1601
296,1602
296,1605
297,1601
297,1602
297,1605
298,1601
298,1602
298,1605
299,1601
299,1602
299,1605
300,1601
300,1602
300,1605
301,1601
301,1603
301,1607
302,1601
302,1602
302,1605
303,1601
303,1602
303,1605
304,1601
304,1602
304,1605
305,1601
305,1602
305,1605
306,1601
306,1602
306,1605
307,1601
307,1602
307,1605
308,1601
308,1604
308,1606
309,1601
309,1602
309,1605
310,1601
310,1602
310,1605
311,1601
311,1602
311,1605
312,1601
312,1602
312,1605
313,1601
313,1602
313,1605
314,1601
314,1602
314,1605
315,1601
315,1602
315,1605
316,1601
316,1602
316,1605
317,1601
317,1602
317,1605
318,1601
318,1602
318,1605
319,1601
319,1602
319,1605
320,1601
320,1603
320,1607
321,1601
321,1602
321,1605
322,1601
322,1602
322,1605
323,1601
323,1602
323,1605
324,1601
324,1604
324,1606
325,1601
325,1602
325,1605
326,1601
326,1602
326,1605
327,1601
327,1602
327,1605
328,1601
328,1602
328,1605
329,1601
329,1602
329,1605
330,1601
330,1602
330,1605
331,1601
331,1602
331,1605
332,1601
332,1602
332,1605
333,1601
333,1603
333,1607
334,1601
334,1602
334,1605
335,1601
335,1603
335,1606
336,1601
336,1603
336,1607
337,1601
337,1602
337,1605
338,1601
338,1602
338,1605
339,1601
339,1602
339,1605
340,1601
340,1602
340,1605
341,1601
341,1602
341,1605
342,1601
342,1602
342,1605
343,1601
343,1602
343,1605
344,1601
344,1602
344,1605
345,1601
345,1602
345,1605
346,1601
346,1602
346,1605
347,1601
347,1602
347,1605
348,1601
348,1602
348,1605
349,1601
349,1602
349,1605
350,1601
350,1602
350,1605
351,1601
351,1602
351,1605
352,1601
352,1602
352,1605
353,1601
353,1602
353,1605
354,1601
354,1602
354,1605
355,1601
355,1602
355,1605
356,1601
356,1602
356,1605
357,1601
357,1602
357,1605
358,1601
358,1602
358,1605
359,1601
359,1602
359,1605
360,1601
360,1602
360,1605
361,1601
361,1602
361,1605
362,1601
362,1602
362,1605
363,1601
363,1602
363,1605
364,1601
364,1602
364,1605
365,1601
365,1602
365,1605
366,1601
366,1602
366,1605
367,1601
367,1602
367,1605
368,1601
368,1602
368,1605
369,1601
369,1602
369,1605
370,1601
370,1602
370,1605
371,1601
371,1602
371,1605
372,1601
372,1602
372,1605
373,1601
373,1602
373,1605
374,1601
374,1602
374,1605
375,1601
375,1602
375,1605
376,1601
376,1602
376,1605
377,1601
377,1602
377,1605
378,1601
378,1602
378,1605
379,1601
379,1602
379,1605
380,1601
380,1602
380,1605
381,1601
381,1602
381,1605
382,1601
382,1602
382,1605
383,1601
383,1603
383,1606
384,1601
384,1602
384,1605
385,1601
385,1602
385,1605
386,1601
386,1602
386,1605
387,1601
387,1602
387,1605
388,1601
388,1602
388,1605
389,1601
389,1602
389,1605
390,1601
390,1602
390,1605
391,1601
391,1602
391,1605
392,1601
392,1602
392,1605
393,1601
393,1602
393,1605
394,1601
394,1602
394,1605
395,1601
395,1602
395,1605
396,1601
396,1602
396,1605
397,1601
397,1603
397,1607
398,1601
398,1602
398,1605
399,1601
399,1602
399,1605
400,1601
400,1602
400,1605
401,1601
401,1602
401,1605
402,1601
402,1602
402,1605
403,1601
403,1602
403,1605
404,1601
404,1602
404,1605
405,1601
405,1603
405,1606
406,1601
406,1602
406,1605
407,1601
407,1602
407,1605
408,1601
408,1602
408,1605
409,1601
409,1602
409,1605
410,1601
410,1602
410,1605
411,1601
411,1602
411,1605
412,1601
412,1603
412,1607
413,1601
413,1602
413,1605
414,1601
414,1602
414,1605
415,1601
415,1602
415,1605
416,1601
416,1602
416,1605
417,1601
417,1602
417,1605
418,1601
418,1604
418,1606
419,1601
419,1602
419,1605
420,1601
420,1602
420,1605
421,1601
421,1602
421,1605
422,1601
422,1602
422,1605
423,1601
423,1602
423,1605
424,1601
424,1602
424,1605
425,1601
425,1602
425,1605
426,1601
426,1602
426,1605
427,1601
427,1602
427,1605
