sid,aid
1207,1505
1209,1501
1211,1511
1212,1511
1214,1503
1217,1501
1218,1505
1219,1503
1220,1514
1221,1508
1223,1511
1224,1508
1229,1505
1230,1503
1233,1502
1234,1500
1237,1507
1238,1511
1239,1503
1240,1503
1241,1513
1242,1504
1243,1501
1244,1503
1245,1511
1253,1511
1254,1510
1255,1510
1256,1503
1257,1505
1258,1511
1259,1504
1260,1505
1261,1510
1262,1502
1265,1500
1266,1508
1267,1508
1268,1511
1269,1510
1270,1507
1271,1508
1272,1501
1273,1504
1274,1503
1275,1507
1276,1502
1277,1508
1278,1501
1279,1500
1280,1513
1281,1511
1282,1500
1283,1511
1284,1511
1285,1505
1286,1503
1287,1503
1288,1501
1289,1501
1291,1508
1294,1510
1295,1513
1296,1503
1297,1508
1298,1509
1299,1510
1300,1510
1301,1510
1302,1500
1303,1508
1304,1508
1305,1503
1308,1508
1309,1505
1310,1504
1314,1508
1315,1510
1316,1508
1317,1513
1318,1508
1319,1508
1320,1508
1321,1508
1322,1508
1323,1501
1324,1501
1325,1501
1326,1508
1327,1508
1328,1504
1330,1503
1331,1513
1332,1510
1333,1508
1334,1508
1336,1500
1346,1505
